	NoSmote	Smote	SmoteLinear	RandomSmote	RandomSelectionSmote	RandomSelectionLinearSmote	SmoteBorderline	RandomOversampler	SNOCC	WSMOTE
Abalone9v21	100	100	100	100	100	100	100	600	100	100
Cleveland0v4	100	400	400	100	400	800	100	800	100	400
Climate	100	100	100	100	100	100	100	700	100	100
Dermatology6	100	100	100	100	100	100	100	100	100	100
Ecoli3	100	300	100	100	300	100	300	100	300	800
Glass6	100	100	100	200	400	500	100	400	100	200
Ionosphere	100	100	100	100	100	100	100	100	100	100
LED7digit	100	100	200	200	200	200	100	100	100	100
Parkinsons	100	100	100	100	100	100	100	100	100	100
Poker9v7	100	1000	2900	2000	1000	1000	2900	1000	2000	1000
Relax	100	100	100	100	100	100	100	100	100	100
Shuttle6v23	100	800	800	1400	800	1400	1400	800	1400	800
Transfusion	100	100	100	100	100	100	100	100	100	100
Vehicle1	100	200	100	200	100	200	100	100	100	200
Vehicle3	100	100	200	200	200	200	200	200	200	200
Vowel0	100	400	400	400	900	900	100	100	600	600
WineQualityRed4	100	100	100	100	100	100	900	900	100	100
WineQualityRed8v6	100	1100	1100	1100	100	100	1100	1100	100	1100
Yeast1v7	100	100	100	100	100	100	100	100	100	100
Yeast2v4	100	100	100	100	100	100	100	100	100	100
