	NoSmote	Smote	SmoteLinear	RandomSmote	RandomSelectionSmote	RandomSelectionLinearSmote	SmoteBorderline	RandomOversampler	SNOCC	WSMOTE
Abalone9v21	100	1500	1500	1500	600	1000	1500	600	1500	1000
Cleveland0v4	100	800	1100	1100	800	800	1100	800	1100	1100
Climate	100	700	700	400	1000	700	1000	700	700	700
Dermatology6	100	100	100	100	100	100	100	100	100	100
Ecoli3	100	800	800	800	800	800	800	600	600	800
Glass6	100	500	500	200	400	500	400	400	200	400
Ionosphere	100	100	100	100	100	100	100	100	100	100
LED7digit	100	400	500	400	500	500	400	100	500	500
Parkinsons	100	100	100	100	200	200	100	100	100	100
Poker9v7	100	2900	2900	2000	2900	2000	2900	1000	2000	2900
Relax	100	100	100	100	100	200	100	200	200	100
Shuttle6v23	100	800	800	1400	800	1400	1400	800	1400	800
Transfusion	100	200	100	100	200	100	200	200	100	200
Vehicle1	100	200	200	200	200	200	200	200	200	200
Vehicle3	100	200	200	200	200	200	200	200	200	200
Vowel0	100	600	400	400	900	900	100	400	600	600
WineQualityRed4	100	900	900	2400	1600	900	1600	900	900	2400
WineQualityRed8v6	100	3000	3000	1100	3000	3000	2000	1100	3000	3000
Yeast1v7	100	900	900	900	1300	1300	1300	500	500	900
Yeast2v4	100	600	800	800	600	800	600	600	600	800
